Date,AHU Kitchen Extract Control Temperature_mean,AHU Kitchen Extract Control Temperature_max,AHU Kitchen Extract Control Temperature_min,AHU Kitchen Intake Control Temperature_mean,AHU Kitchen Intake Control Temperature_max,AHU Kitchen Intake Control Temperature_min,AHU Kitchen Supply Control Temperature_mean,AHU Kitchen Supply Control Temperature_max,AHU Kitchen Supply Control Temperature_min,AHU Kitchen Extract Entering Temperature_mean,AHU Kitchen Extract Entering Temperature_max,AHU Kitchen Extract Entering Temperature_min,AHU Kitchen Intake Entering Temperature_mean,AHU Kitchen Intake Entering Temperature_max,AHU Kitchen Intake Entering Temperature_min,AHU Kitchen Supply Entering Temperature_mean,AHU Kitchen Supply Entering Temperature_max,AHU Kitchen Supply Entering Temperature_min,AHU Kitchen Extract Leaving Temperature_mean,AHU Kitchen Extract Leaving Temperature_max,AHU Kitchen Extract Leaving Temperature_min,AHU Kitchen Intake Leaving Temperature_mean,AHU Kitchen Intake Leaving Temperature_max,AHU Kitchen Intake Leaving Temperature_min,AHU Kitchen Supply Leaving Temperature_mean,AHU Kitchen Supply Leaving Temperature_max,AHU Kitchen Supply Leaving Temperature_min
2025-01-24,,,,,,,20.92096981348958,23.348453747,18.257071539,17.608768131895832,24.159499905,10.702667273,,,,,,,17.608768131895832,24.159499905,10.702667273,,,,20.92096981348958,23.348453747,18.257071539
2025-01-25,,,,,,,22.124668408847224,22.869182424,21.422223847,13.981242021440972,16.893913721,11.915593625,,,,,,,13.981242021440972,16.893913721,11.915593625,,,,22.124668408847224,22.869182424,21.422223847
2025-01-26,,,,,,,20.781406337291667,21.978339683,17.760429047,12.212706152166668,14.392949351,8.363368128,,,,,,,12.212706152166668,14.392949351,8.363368128,,,,20.781406337291667,21.978339683,17.760429047
2025-01-27,,,,,,,19.951283926638887,22.445111735,16.366490557,16.52510280845486,25.101718656,9.088097343,,,,,,,16.52510280845486,25.101718656,9.088097343,,,,19.951283926638887,22.445111735,16.366490557
2025-01-28,,,,,,,20.820907718194444,23.192817215,17.83554721,17.788151443083333,24.299101724,12.842422305,,,,,,,17.788151443083333,24.299101724,12.842422305,,,,20.820907718194444,23.192817215,17.83554721
2025-01-29,,,,,,,21.145601237527778,23.63784727,17.692184221,18.134109427225695,23.005927481,15.186979276,,,,,,,18.134109427225695,23.005927481,15.186979276,,,,21.145601237527778,23.63784727,17.692184221
2025-01-30,,,,,,,21.072937558020833,23.529199483,16.195277651,17.45963916997222,23.929148828,13.231371345,,,,,,,17.45963916997222,23.929148828,13.231371345,,,,21.072937558020833,23.529199483,16.195277651
2025-01-31,,,,,,,21.09499883592657,23.359687941,17.458046737,17.60315108608741,24.379771994,12.173182125,,,,,,,17.60315108608741,24.379771994,12.173182125,,,,21.09499883592657,23.359687941,17.458046737
2025-02-01,,,,,,,22.831883169519163,23.390926421,22.258943872,14.555107585076657,16.56195997,12.985971618,,,,,,,14.555107585076657,16.56195997,12.985971618,,,,22.831883169519163,23.390926421,22.258943872
2025-02-02,,,,,,,21.869115639895835,22.520676769,21.418111355,14.756903924795138,16.564917986,12.685976153,,,,,,,14.756903924795138,16.564917986,12.685976153,,,,21.869115639895835,22.520676769,21.418111355
2025-02-03,,,,,,,20.691746406017362,22.954911844,18.184216839,17.698830696590278,22.91643389,12.661921106,,,,,,,17.698830696590278,22.91643389,12.661921106,,,,20.691746406017362,22.954911844,18.184216839
2025-02-04,,,,,,,21.070167213694443,23.734442345,18.365807505,18.448849889270832,23.534442892,13.913369004,,,,,,,18.448849889270832,23.534442892,13.913369004,,,,21.070167213694443,23.734442345,18.365807505
